period,scenario,subscenario,subperiod,profile,bg_1 - bus_1,bg_1 - bus_2,bg_2 - bus_1,bg_2 - bus_2
3,2,1,1,11,0.0,-0.0,-0.0,-0.0
3,2,1,1,12,0.0,-0.0,-0.0,-0.0
3,2,1,1,13,-0.0,-0.0,-0.0,-0.0
3,2,1,2,1,0.0,0.0015,-0.0,-0.0
3,2,1,2,2,0.0,-0.0,-0.0,-0.0
3,2,1,2,3,0.0,-0.0,-0.0,-0.0
3,2,1,2,4,0.0,-0.0,-0.0,-0.0
3,2,1,2,5,0.0,0.0,-0.0,-0.0
3,2,1,2,6,0.0,-0.0,-0.0,-0.0
3,2,1,2,7,0.0,-0.0,-0.0,-0.0
3,2,1,2,8,0.0,-0.0,-0.0,-0.0
3,2,1,2,9,0.0,-0.0,-0.0,-0.0
3,2,1,2,10,-0.0,-0.0,-0.0,-0.0
3,2,1,2,11,0.0,-0.0,-0.0,-0.0
3,2,1,2,12,0.0,-0.0,-0.0,-0.0
3,2,1,2,13,0.0,-0.0,-0.0,-0.0
3,2,1,3,1,0.0,0.0015,-0.0,-0.0
3,2,1,3,2,0.0,-0.0,-0.0,-0.0
3,2,1,3,3,0.0,-0.0,-0.0,-0.0
3,2,1,3,4,0.0,-0.0,-0.0,-0.0
3,2,1,3,5,0.0,-0.0,-0.0,-0.0
3,2,1,3,6,-0.0,-0.0,-0.0,-0.0
3,2,1,3,7,0.0,-0.0,-0.0,-0.0
3,2,1,3,8,0.0,-0.0,-0.0,-0.0
3,2,1,3,9,0.0,-0.0,-0.0,-0.0
3,2,1,3,10,0.0,-0.0,-0.0,-0.0
3,2,1,3,11,0.0,-0.0,-0.0,-0.0
3,2,1,3,12,0.0,-0.0,-0.0,-0.0
3,2,1,3,13,0.0,-0.0,-0.0,-0.0
3,2,1,4,1,0.0,0.0015,-0.0,-0.0
3,2,1,4,2,0.0,-0.0,-0.0,-0.0
3,2,1,4,3,0.0,-0.0,-0.0,-0.0
3,2,1,4,4,0.0,-0.0,-0.0,-0.0
3,2,1,4,5,0.0,-0.0,-0.0,-0.0
3,2,1,4,6,0.0,-0.0,-0.0,-0.0
3,2,1,4,7,0.0,-0.0,-0.0,-0.0
3,2,1,4,8,0.0,-0.0,-0.0,-0.0
3,2,1,4,9,0.0,-0.0,-0.0,-0.0
3,2,1,4,10,0.0,-0.0,-0.0,-0.0
3,2,1,4,11,0.0,0.0,-0.0,-0.0
3,2,1,4,12,0.0,-0.0,-0.0,-0.0
3,2,1,4,13,0.0,-0.0,-0.0,-0.0
3,3,1,1,1,0.0,0.003,-0.0,-0.0
3,3,1,1,2,0.0,-0.0,-0.0,-0.0
3,3,1,1,3,0.0,-0.0,-0.0,-0.0
3,3,1,1,4,0.0,-0.0,-0.0,-0.0
3,3,1,1,5,0.0,-0.0,-0.0,-0.0
3,3,1,1,6,0.0,-0.0,-0.0,-0.0
3,3,1,1,7,0.0,-0.0,-0.0,-0.0
3,3,1,1,8,0.0,-0.0,-0.0,-0.0
3,3,1,1,9,0.0,-0.0,-0.0,-0.0
3,3,1,1,10,0.0,-0.0,-0.0,-0.0
3,3,1,1,11,0.0,-0.0,-0.0,-0.0
3,3,1,1,12,0.0,-0.0,-0.0,-0.0
3,3,1,1,13,-0.0,-0.0,-0.0,-0.0
3,3,1,2,1,0.0,0.003,-0.0,-0.0
3,3,1,2,2,0.0,-0.0,-0.0,-0.0
3,3,1,2,3,0.0,-0.0,-0.0,-0.0
3,3,1,2,4,0.0,-0.0,-0.0,-0.0
3,3,1,2,5,0.0,-0.0,-0.0,-0.0
3,3,1,2,6,0.0,-0.0,-0.0,-0.0
3,3,1,2,7,0.0,-0.0,-0.0,-0.0
3,3,1,2,8,0.0,-0.0,-0.0,-0.0
3,3,1,2,9,0.0,-0.0,-0.0,-0.0
3,3,1,2,10,-0.0,-0.0,-0.0,-0.0
3,3,1,2,11,0.0,-0.0,-0.0,-0.0
3,3,1,2,12,0.0,-0.0,-0.0,-0.0
3,3,1,2,13,0.0,-0.0,-0.0,-0.0
3,3,1,3,1,0.0,0.003,-0.0,-0.0
3,3,1,3,2,0.0,-0.0,-0.0,-0.0
3,3,1,3,3,0.0,-0.0,-0.0,-0.0
3,3,1,3,4,0.0,-0.0,-0.0,-0.0
3,3,1,3,5,0.0,-0.0,-0.0,-0.0
3,3,1,3,6,-0.0,-0.0,-0.0,-0.0
3,3,1,3,7,0.0,-0.0,-0.0,-0.0
3,3,1,3,8,0.0,-0.0,-0.0,-0.0
3,3,1,3,9,0.0,0.0,-0.0,-0.0
3,3,1,3,10,0.0,0.0,-0.0,-0.0
3,3,1,3,11,0.0,-0.0,-0.0,-0.0
3,3,1,3,12,0.0,-0.0,-0.0,-0.0
3,3,1,3,13,0.0,-0.0,-0.0,-0.0
3,3,1,4,1,0.0,0.003,-0.0,-0.0
3,3,1,4,2,0.0,-0.0,-0.0,-0.0
3,3,1,4,3,0.0,-0.0,-0.0,-0.0
3,3,1,4,4,0.0,-0.0,-0.0,-0.0
3,3,1,4,5,0.0,-0.0,-0.0,-0.0
3,3,1,4,6,0.0,-0.0,-0.0,-0.0
3,3,1,4,7,0.0,-0.0,-0.0,-0.0
3,3,1,4,8,0.0,-0.0,-0.0,-0.0
3,3,1,4,9,0.0,-0.0,-0.0,-0.0
3,3,1,4,10,0.0,-0.0,-0.0,-0.0
3,3,1,4,11,0.0,-0.0,-0.0,-0.0
3,3,1,4,12,0.0,-0.0,-0.0,-0.0
3,3,1,4,13,0.0,-0.0,-0.0,-0.0
3,4,1,1,1,-0.0,0.0035,-0.0,-0.0
3,4,1,1,2,0.0,-0.0,-0.0,-0.0
3,4,1,1,3,0.0,-0.0,-0.0,-0.0
3,4,1,1,4,0.0,-0.0,-0.0,-0.0
3,4,1,1,5,0.0,-0.0,-0.0,-0.0
3,4,1,1,6,0.0,-0.0,-0.0,-0.0
3,4,1,1,7,0.0,-0.0,-0.0,-0.0
3,4,1,1,8,0.0,-0.0,-0.0,-0.0
3,4,1,1,9,0.0,-0.0,-0.0,-0.0
3,4,1,1,10,0.0,-0.0,-0.0,-0.0
3,4,1,1,11,0.0,-0.0,-0.0,-0.0
3,4,1,1,12,0.0,-0.0,-0.0,-0.0
3,4,1,1,13,-0.0,-0.0,-0.0,-0.0
3,4,1,2,1,-0.0,0.0035,-0.0,-0.0
3,4,1,2,2,0.0,-0.0,-0.0,-0.0
3,4,1,2,3,0.0,-0.0,-0.0,-0.0
3,4,1,2,4,0.0,-0.0,-0.0,-0.0
3,4,1,2,5,0.0,-0.0,-0.0,-0.0
3,4,1,2,6,0.0,-0.0,-0.0,-0.0
3,4,1,2,7,0.0,-0.0,-0.0,-0.0
3,4,1,2,8,0.0,-0.0,-0.0,-0.0
3,4,1,2,9,0.0,-0.0,-0.0,-0.0
3,4,1,2,10,-0.0,-0.0,-0.0,-0.0
3,4,1,2,11,0.0,-0.0,-0.0,-0.0
3,4,1,2,12,0.0,-0.0,-0.0,-0.0
3,4,1,2,13,0.0,-0.0,-0.0,-0.0
3,4,1,3,1,-0.0,0.0035,-0.0,-0.0
3,4,1,3,2,0.0,-0.0,-0.0,-0.0
3,4,1,3,3,0.0,-0.0,-0.0,-0.0
3,4,1,3,4,0.0,-0.0,-0.0,-0.0
3,4,1,3,5,0.0,-0.0,-0.0,-0.0
3,4,1,3,6,-0.0,-0.0,-0.0,-0.0
3,4,1,3,7,0.0,-0.0,-0.0,-0.0
3,4,1,3,8,0.0,-0.0,-0.0,-0.0
3,4,1,3,9,0.0,0.0,-0.0,-0.0
3,4,1,3,10,0.0,0.0,-0.0,-0.0
3,4,1,3,11,0.0,-0.0,-0.0,-0.0
3,4,1,3,12,0.0,-0.0,-0.0,-0.0
3,4,1,3,13,0.0,-0.0,-0.0,-0.0
3,4,1,4,1,-0.0,0.0035,-0.0,-0.0
3,4,1,4,2,0.0,-0.0,-0.0,-0.0
3,4,1,4,3,0.0,-0.0,-0.0,-0.0
3,4,1,4,4,0.0,-0.0,-0.0,-0.0
3,4,1,4,5,0.0,-0.0,-0.0,-0.0
3,4,1,4,6,0.0,-0.0,-0.0,-0.0
3,4,1,4,7,0.0,-0.0,-0.0,-0.0
3,4,1,4,8,0.0,-0.0,-0.0,-0.0
3,4,1,4,9,0.0,-0.0,-0.0,-0.0
3,4,1,4,10,0.0,-0.0,-0.0,-0.0
3,4,1,4,11,0.0,-0.0,-0.0,-0.0
3,4,1,4,12,0.0,-0.0,-0.0,-0.0
3,4,1,4,13,0.0,-0.0,-0.0,-0.0
